,x-Cordinates [px],y-Cordinates [px],Angle [rad],Brick Colour,Brick Type,Standard Deviation x,Standard Deviation y,Standard Deviation Angle,Frame
5,180.5,301.4166666666667,-0.20781723844324018,white,2x2 brick,0.5,0.6066758241067098,0.21398344802153393,5
0,426.25,63.0,0.058587029339726385,yellow,2x4 brick,0.25,2.5,0.30495446106391055,6
1,401.25,419.0,0.03255488235747063,white,2x4 brick,0.25,0.5,0.28553385194201086,6
2,88.5,263.64285714285717,0.10232222717048185,red,2x4 brick,0.5,0.8748177652797063,0.34008875283423384,6
3,55.5,127.07142857142857,0.39239835967966397,yellow,2x4 brick,0.5,2.1535447759544764,0.6002283992668267,6
4,259.60714285714283,73.32142857142857,0.16478366889663976,yellow,1x2 brick,0.2051629516620724,2.6833291080374058,0.3922094195490706,6
5,180.5,301.39285714285717,-0.22928251058816768,white,2x2 brick,0.5,0.6318502147483618,0.20496875312727578,6
0,426.25,63.0,0.05312225573575781,yellow,2x4 brick,0.25,2.5,0.30194781547018257,7
1,401.25,419.0,0.02701118078863942,white,2x4 brick,0.25,0.5,0.2817566660734567,7
2,88.5,263.65625,0.09738575598071719,red,2x4 brick,0.5,0.8609360821222444,0.33848648349117216,7
3,55.5,127.09375,0.3875621689767108,yellow,2x4 brick,0.5,2.166641626457869,0.602337425194132,7
4,259.65625,73.3125,0.15964179783463966,yellow,1x2 brick,0.2914805954090255,2.6918569334197535,0.39164738569376684,7
5,180.5,301.40625,-0.23338812528281744,white,2x2 brick,0.5,0.6179287479151622,0.192038169494707,7
0,426.25,63.0,0.0914467684554,yellow,2x4 brick,0.25,2.5,0.3066757348364892,8
1,401.25,419.0,0.06521379678527955,white,2x4 brick,0.25,0.5,0.290215004595077,8
2,88.5,263.6666666666667,0.13650205901242385,red,2x4 brick,0.5,0.8498365855987975,0.33825959665498867,8
3,55.5,127.11111111111111,0.42661241163206265,yellow,2x4 brick,0.5,2.1249546109894752,0.5837908407838774,8
4,259.6388888888889,73.30555555555556,0.19795193943423314,yellow,1x2 brick,0.2791632116978025,2.6984506299854987,0.38481935417392377,8
5,180.5,301.44444444444446,-0.19448824470761084,white,2x2 brick,0.5,0.6431020501550125,0.24817294145643368,8
0,426.25,63.0,0.08378534787553542,yellow,2x4 brick,0.25,2.5,0.3047160685151984,9
1,401.25,419.0,0.05756030555673499,white,2x4 brick,0.25,0.5,0.28744913875813427,9
2,88.5,263.675,0.1291192512699317,red,2x4 brick,0.5,0.8407585860400117,0.33767888803576146,9
3,55.5,127.125,0.4189017491635595,yellow,2x4 brick,0.5,2.13819433167334,0.5871053225815314,9
4,259.65,73.3,0.19013097596925047,yellow,1x2 brick,0.27838821814150105,2.7037011669191546,0.38525473796132775,9
