,x-Cordinates [px],y-Cordinates [px],Angle [rad],Brick Colour,Brick Type,Standard Deviation x,Standard Deviation y,Standard Deviation Angle,Frame
7,391.1,117.3,-0.04476759170194019,white,2x2 brick,0.2,2.3043437243605824,0.018319867982547224,4
0,501.7916666666667,104.91666666666667,1.0602870734975636,white,2x4 brick,0.32004773949452536,2.343726851737539,1.1056347444439447,5
1,137.3,143.53333333333333,-0.3340325628747884,yellow,2x4 brick,0.24494897427831785,2.5720722298480574,0.3576627649692352,5
2,165.25,344.5,0.43144111104584937,white,2x4 brick,0.25,1.0,0.4768730601080727,5
3,256.5,153.66666666666666,-0.3505385552147477,white,2x2 brick,0.0,1.8408935028645435,0.3055872991984834,5
4,510.2083333333333,323.0,1.0491514770611026,yellow,2x4 brick,0.24650332429581734,1.0,1.0945617856971879,5
5,268.7916666666667,338.75,0.24503244823988501,white,2x2 brick,0.24650332429581734,0.75,0.2906429994043971,5
6,396.5416666666667,318.9166666666667,0.3105108954956059,white,2x2 brick,0.24650332429581734,0.9537935951882998,0.3562962845474407,5
7,391.0833333333333,117.29166666666667,-0.0452770085808413,white,2x2 brick,0.18633899812498247,2.295451420139887,0.016762423160077797,5
0,501.7857142857143,104.96428571428571,1.0600141963404435,white,2x4 brick,0.3113499245386196,2.333485174845662,1.1057225665678356,6
1,137.30555555555554,143.52777777777777,-0.32652327370309864,yellow,2x4 brick,0.2437490107608923,2.5575173629378147,0.35533293885491635,6
2,165.21428571428572,344.5,0.43117911110604756,white,2x4 brick,0.2474358296526967,1.0,0.47695997562451176,6
3,256.5,153.64285714285714,-0.34884304243488196,white,2x2 brick,0.0,1.8653664081715136,0.3035472097107942,6
4,510.2142857142857,323.0357142857143,1.048680397791771,yellow,2x4 brick,0.2474358296526967,1.0430772761793026,1.094442882095864,6
5,268.7857142857143,338.75,0.2451002565529592,white,2x2 brick,0.2474358296526967,0.75,0.29103535096439576,6
6,396.57142857142856,318.89285714285717,0.31118918440854737,white,2x2 brick,0.2575393768188564,0.9292579879469777,0.35728438434765547,6
7,391.10714285714283,117.28571428571429,-0.04564757963868467,white,2x2 brick,0.20516295166207243,2.289060051280295,0.015545511724147922,6
