0,1,2,3,4,5,6,7,8
112.0,72.0,73.60000000000001,0,175,3022,106,1,1
64.0,88.0,73.60000000000001,0,157,3003,106,9,2
72.0,88.0,73.60000000000001,1,160,3001,21,9,2
112.0,88.0,73.60000000000001,0,166,3001,106,9,1
64.0,104.0,73.60000000000001,0,173,3022,106,7,1
80.0,104.0,73.60000000000001,0,161,3001,106,9,2
96.0,104.0,73.60000000000001,0,174,3020,23,9,1
56.0,56.0,76.80000000000001,1,176,3020,25,0,0
64.0,72.0,76.80000000000001,0,177,3022,106,7,1
80.0,72.0,76.80000000000001,0,179,3022,106,8,1
64.0,88.0,76.80000000000001,0,178,3020,106,7,1
72.0,88.0,76.80000000000001,1,180,3020,21,8,1
80.0,104.0,76.80000000000001,0,181,3022,106,7,1
96.0,104.0,76.80000000000001,0,184,3022,23,8,1
72.0,120.0,76.80000000000001,1,182,3020,23,7,1
80.0,72.0,80.0,0,188,3022,106,0,0
64.0,88.0,80.0,0,187,3020,25,0,0
80.0,88.0,80.0,0,189,3022,106,7,1
96.0,88.0,80.0,0,191,3022,21,1,1
80.0,104.0,80.0,0,190,3020,23,8,1
96.0,104.0,80.0,0,192,3020,106,8,1
80.0,72.0,83.2,0,193,3020,25,0,0
88.0,72.0,83.2,1,183,3001,106,2,2
96.0,88.0,83.2,0,196,3022,106,7,1
112.0,88.0,83.2,0,185,3003,106,7,2
80.0,104.0,83.2,0,194,3022,23,7,1
96.0,104.0,83.2,0,197,3022,21,8,1
112.0,104.0,83.2,0,186,3003,23,8,2
80.0,120.0,83.2,0,195,3022,106,7,1
88.0,120.0,83.2,1,198,3020,106,8,1
80.0,72.0,86.4,0,199,3022,106,0,0
96.0,72.0,86.4,0,202,3020,25,1,1
80.0,88.0,86.4,0,200,3022,106,6,1
80.0,104.0,86.4,0,201,3022,23,7,1
72.0,72.0,89.60000000000001,1,206,3020,25,0,0
80.0,88.0,89.60000000000001,0,207,3020,23,7,1
96.0,88.0,89.60000000000001,0,208,3022,106,7,1
72.0,88.0,92.80000000000001,1,209,3020,23,0,0
112.0,88.0,92.80000000000001,0,204,3003,23,0,1
80.0,104.0,92.80000000000001,0,210,3022,106,7,1
96.0,104.0,92.80000000000001,0,203,3003,21,8,2
112.0,104.0,92.80000000000001,0,258,3003,106,8,3
80.0,120.0,92.80000000000001,0,257,3001,106,7,3
96.0,120.0,92.80000000000001,0,256,3001,106,8,3
112.0,120.0,92.80000000000001,0,205,3001,106,8,3
72.0,88.0,96.0,1,211,3020,23,0,0
96.0,120.0,96.0,0,215,3022,106,0,0
80.0,136.0,96.0,0,213,3022,106,0,0
112.0,136.0,96.0,0,219,3022,106,0,0
72.0,88.0,99.2,1,220,3020,106,0,0
96.0,120.0,99.2,0,222,3022,28,0,0
80.0,136.0,99.2,0,221,3022,28,0,0
112.0,136.0,99.2,0,223,3022,28,0,0
72.0,88.0,102.4,1,224,3020,106,0,0
112.0,88.0,102.4,0,217,3003,106,0,0
80.0,104.0,102.4,0,212,3001,106,9,2
96.0,104.0,102.4,0,214,3003,21,9,2
112.0,104.0,102.4,0,218,3001,106,9,2
96.0,120.0,102.4,0,226,3022,28,6,1
80.0,136.0,102.4,0,225,3022,28,7,1
96.0,136.0,102.4,0,216,3003,106,9,2
112.0,136.0,102.4,0,227,3022,28,8,1
72.0,88.0,105.60000000000001,1,228,3020,106,0,0
96.0,104.0,105.60000000000001,0,231,3022,21,7,1
72.0,136.0,105.60000000000001,1,230,3020,106,0,0
112.0,136.0,105.60000000000001,0,234,3022,106,0,0
80.0,88.0,108.80000000000001,0,235,3022,106,0,0
96.0,88.0,108.80000000000001,0,236,3022,106,1,1
96.0,104.0,108.80000000000001,0,237,3022,21,7,1
96.0,136.0,108.80000000000001,0,238,3022,106,0,0
80.0,88.0,112.0,0,239,3022,106,0,0
96.0,88.0,112.0,0,240,3020,106,1,1
112.0,88.0,112.0,0,233,3001,106,1,3
80.0,104.0,112.0,0,229,3001,106,9,1
88.0,120.0,112.0,1,232,3001,106,9,2
