0,1,2,3,4,5,6,7
56.0,64.0,12.8,1,43,3023,154,1
72.0,64.0,12.8,0,44,3023,154,1
96.0,64.0,12.8,0,45,3022,154,1
56.0,72.0,12.8,0,46,3023,154,1
64.0,80.0,12.8,1,47,3024,192,1
72.0,80.0,12.8,1,48,3024,154,1
96.0,80.0,12.8,1,49,3023,192,1
56.0,160.0,12.8,0,50,3023,154,1
64.0,160.0,12.8,0,51,3022,154,1
96.0,160.0,12.8,0,52,3022,154,1
56.0,176.0,12.8,1,53,3023,154,1
96.0,176.0,12.8,1,54,3023,154,1
56.0,64.0,16.0,0,55,3004,154,1
64.0,64.0,16.0,1,56,3005,154,1
72.0,64.0,16.0,0,57,3004,154,1
96.0,64.0,16.0,1,58,3004,154,1
64.0,72.0,16.0,1,59,3024,26,1
96.0,72.0,16.0,0,60,3003,154,1
56.0,80.0,16.0,1,61,3024,154,1
64.0,80.0,16.0,1,62,3005,154,1
72.0,80.0,16.0,1,63,3024,154,1
56.0,160.0,16.0,1,64,3004,154,1
72.0,160.0,16.0,0,65,3004,154,1
96.0,160.0,16.0,1,66,3004,154,1
56.0,168.0,16.0,0,67,3003,154,1
96.0,168.0,16.0,0,68,3003,154,1
64.0,56.0,19.200000000000003,1,69,3023,154,1
96.0,56.0,19.200000000000003,1,70,3023,154,1
64.0,72.0,19.200000000000003,1,71,3024,154,1
56.0,80.0,19.200000000000003,1,72,3024,154,1
72.0,80.0,19.200000000000003,1,73,3024,154,1
64.0,56.0,22.400000000000002,1,74,3023,154,1
96.0,56.0,22.400000000000002,1,75,3023,154,1
64.0,72.0,22.400000000000002,1,76,3024,154,1
96.0,152.0,22.400000000000002,1,77,3024,154,1
56.0,56.0,25.6,0,78,3004,154,1
64.0,56.0,25.6,0,79,3003,154,1
96.0,56.0,25.6,0,80,3003,154,1
56.0,72.0,25.6,1,81,3005,154,1
64.0,72.0,25.6,1,82,3004,154,1
96.0,72.0,25.6,1,83,3004,154,1
56.0,160.0,25.6,0,84,3004,154,1
64.0,160.0,25.6,0,85,3003,154,1
96.0,160.0,25.6,0,86,3003,154,1
56.0,176.0,25.6,1,87,3024,154,1
64.0,176.0,25.6,1,88,3005,154,1
96.0,176.0,25.6,1,89,3004,154,1
64.0,152.0,32.0,1,90,3024,154,1
96.0,152.0,32.0,1,91,3023,154,1
56.0,56.0,35.2,0,92,3003,154,1
72.0,56.0,35.2,0,93,3004,154,1
96.0,56.0,35.2,0,94,3003,154,1
56.0,72.0,35.2,1,95,3004,154,1
72.0,72.0,35.2,1,96,3005,154,1
96.0,72.0,35.2,1,97,3004,154,1
64.0,152.0,35.2,1,98,3005,154,1
96.0,152.0,35.2,0,99,3003,154,1
56.0,160.0,35.2,0,100,3004,154,1
64.0,160.0,35.2,1,101,3024,154,1
