brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end,source_file
64,2024-05-21 13:15:28,2024-05-21 13:17:14,1,1,2024-05-21 13:17:26,KPI_DATA_build_20240521_122912.csv
65,2024-05-21 13:17:26,2024-05-21 13:17:41,1,0,2024-05-21 13:17:53,KPI_DATA_build_20240521_122912.csv
66,2024-05-21 13:17:53,2024-05-21 13:18:22,3,0,2024-05-21 13:18:33,KPI_DATA_build_20240521_122912.csv
67,2024-05-21 13:18:33,2024-05-21 13:19:53,1,1,2024-05-21 13:20:04,KPI_DATA_build_20240521_122912.csv
68,2024-05-21 13:20:04,2024-05-21 13:21:47,1,1,2024-05-21 13:21:58,KPI_DATA_build_20240521_122912.csv
69,2024-05-21 13:21:58,2024-05-21 13:22:17,1,0,2024-05-21 13:22:28,KPI_DATA_build_20240521_122912.csv
70,2024-05-21 13:22:28,2024-05-21 13:24:13,1,1,2024-05-21 13:24:24,KPI_DATA_build_20240521_122912.csv
71,2024-05-21 13:24:24,2024-05-21 13:24:51,2,0,2024-05-21 13:25:02,KPI_DATA_build_20240521_122912.csv
72,2024-05-21 13:25:02,2024-05-21 13:25:16,1,0,2024-05-21 13:25:28,KPI_DATA_build_20240521_122912.csv
73,2024-05-21 13:25:28,2024-05-21 13:25:43,1,0,2024-05-21 13:25:54,KPI_DATA_build_20240521_122912.csv
74,2024-05-21 13:25:54,2024-05-21 13:26:08,1,0,2024-05-21 13:26:20,KPI_DATA_build_20240521_122912.csv
75,2024-05-21 13:26:20,2024-05-21 13:28:05,1,1,2024-05-21 13:28:16,KPI_DATA_build_20240521_122912.csv
76,2024-05-21 13:28:16,2024-05-21 13:28:32,1,0,2024-05-21 13:28:44,KPI_DATA_build_20240521_122912.csv
77,2024-05-21 13:28:44,2024-05-21 13:28:59,1,0,2024-05-21 13:29:11,KPI_DATA_build_20240521_122912.csv
78,2024-05-21 13:29:11,2024-05-21 13:29:25,1,0,2024-05-21 13:29:37,KPI_DATA_build_20240521_122912.csv
79,2024-05-21 13:29:37,2024-05-21 13:33:25,1,3,2024-05-21 13:33:37,KPI_DATA_build_20240521_122912.csv
80,2024-05-21 13:33:37,2024-05-21 13:34:01,1,0,2024-05-21 13:34:13,KPI_DATA_build_20240521_122912.csv
81,2024-05-21 13:34:13,2024-05-21 13:34:31,1,0,2024-05-21 13:34:43,KPI_DATA_build_20240521_122912.csv
82,2024-05-21 13:36:18,2024-05-21 13:38:54,1,0,2024-05-21 13:39:05,KPI_DATA_build_20240521_133615.csv
83,2024-05-21 13:39:05,2024-05-21 13:41:31,2,0,2024-05-21 13:41:43,KPI_DATA_build_20240521_133615.csv
84,2024-05-21 13:41:43,2024-05-21 13:43:30,1,1,2024-05-21 13:43:41,KPI_DATA_build_20240521_133615.csv
85,2024-05-21 13:43:41,2024-05-21 13:44:25,2,0,2024-05-21 13:44:37,KPI_DATA_build_20240521_133615.csv
86,2024-05-21 13:44:37,2024-05-21 13:45:11,1,0,2024-05-21 13:45:23,KPI_DATA_build_20240521_133615.csv
87,2024-05-21 13:45:23,2024-05-21 13:47:12,1,1,2024-05-21 13:47:23,KPI_DATA_build_20240521_133615.csv
88,2024-05-21 13:47:23,2024-05-21 13:47:58,1,0,2024-05-21 13:48:10,KPI_DATA_build_20240521_133615.csv
89,2024-05-21 13:48:10,2024-05-21 13:48:27,1,0,2024-05-21 13:48:39,KPI_DATA_build_20240521_133615.csv
90,2024-05-21 13:48:39,2024-05-21 13:49:01,2,0,2024-05-21 13:49:12,KPI_DATA_build_20240521_133615.csv
91,2024-05-21 13:49:12,2024-05-21 13:49:27,1,0,2024-05-21 13:49:39,KPI_DATA_build_20240521_133615.csv
92,2024-05-21 13:49:39,2024-05-21 13:51:24,1,1,2024-05-21 13:51:36,KPI_DATA_build_20240521_133615.csv
93,2024-05-21 13:51:36,2024-05-21 13:52:00,1,0,2024-05-21 13:52:12,KPI_DATA_build_20240521_133615.csv
94,2024-05-21 13:52:12,2024-05-21 13:52:31,1,0,2024-05-21 13:52:43,KPI_DATA_build_20240521_133615.csv
95,2024-05-21 13:52:43,2024-05-21 13:52:58,1,0,2024-05-21 13:53:10,KPI_DATA_build_20240521_133615.csv
96,2024-05-21 13:53:10,2024-05-21 13:56:35,2,2,2024-05-21 13:56:47,KPI_DATA_build_20240521_133615.csv
97,2024-05-21 13:56:47,2024-05-21 13:57:06,1,0,2024-05-21 13:57:18,KPI_DATA_build_20240521_133615.csv
98,2024-05-21 13:57:18,2024-05-21 13:57:58,2,0,2024-05-21 13:58:10,KPI_DATA_build_20240521_133615.csv
99,2024-05-21 13:58:10,2024-05-21 13:58:33,1,0,2024-05-21 13:58:45,KPI_DATA_build_20240521_133615.csv
100,2024-05-21 13:58:45,2024-05-21 14:01:17,3,1,2024-05-21 14:01:29,KPI_DATA_build_20240521_133615.csv
101,2024-05-21 14:01:29,2024-05-21 14:01:49,1,0,2024-05-21 14:02:01,KPI_DATA_build_20240521_133615.csv
102,2024-05-21 14:02:01,2024-05-21 14:02:57,1,0,2024-05-21 14:03:09,KPI_DATA_build_20240521_133615.csv
103,2024-05-21 14:03:09,2024-05-21 14:04:39,1,0,2024-05-21 14:04:51,KPI_DATA_build_20240521_133615.csv
104,2024-05-21 14:04:51,2024-05-21 14:06:44,2,1,2024-05-21 14:06:56,KPI_DATA_build_20240521_133615.csv
105,2024-05-21 14:06:56,2024-05-21 14:07:20,1,0,2024-05-21 14:07:31,KPI_DATA_build_20240521_133615.csv
106,2024-05-21 14:07:31,2024-05-21 14:09:29,4,1,2024-05-21 14:09:41,KPI_DATA_build_20240521_133615.csv
107,2024-05-21 14:09:41,2024-05-21 14:09:56,1,0,2024-05-21 14:10:08,KPI_DATA_build_20240521_133615.csv
108,2024-05-21 14:10:08,2024-05-21 14:12:46,3,1,2024-05-21 14:12:57,KPI_DATA_build_20240521_133615.csv
109,2024-05-21 14:12:57,2024-05-21 14:13:14,1,0,2024-05-21 14:13:26,KPI_DATA_build_20240521_133615.csv
110,2024-05-21 14:13:26,2024-05-21 14:13:41,1,0,2024-05-21 14:13:53,KPI_DATA_build_20240521_133615.csv
111,2024-05-21 14:13:53,2024-05-21 14:14:09,1,0,2024-05-21 14:14:21,KPI_DATA_build_20240521_133615.csv
112,2024-05-21 14:14:21,2024-05-21 14:16:25,1,1,2024-05-21 14:16:37,KPI_DATA_build_20240521_133615.csv
113,2024-05-21 14:16:37,2024-05-21 14:16:54,1,0,2024-05-21 14:17:06,KPI_DATA_build_20240521_133615.csv
114,2024-05-21 14:17:06,2024-05-21 14:17:24,1,0,2024-05-21 14:17:36,KPI_DATA_build_20240521_133615.csv
115,2024-05-21 14:17:36,2024-05-21 14:17:55,1,0,2024-05-21 14:18:07,KPI_DATA_build_20240521_133615.csv
116,2024-05-21 14:18:07,2024-05-21 14:18:23,1,0,2024-05-21 14:18:35,KPI_DATA_build_20240521_133615.csv
117,2024-05-21 14:18:35,2024-05-21 14:18:54,1,0,2024-05-21 14:19:06,KPI_DATA_build_20240521_133615.csv
118,2024-05-21 14:19:06,2024-05-21 14:20:55,1,1,2024-05-21 14:21:07,KPI_DATA_build_20240521_133615.csv
119,2024-05-21 14:21:07,2024-05-21 14:21:22,1,0,2024-05-21 14:21:34,KPI_DATA_build_20240521_133615.csv
120,2024-05-21 14:21:34,2024-05-21 14:21:50,1,0,2024-05-21 14:22:02,KPI_DATA_build_20240521_133615.csv
121,2024-05-21 14:22:02,2024-05-21 14:23:58,3,1,2024-05-21 14:24:10,KPI_DATA_build_20240521_133615.csv
122,2024-05-21 14:24:10,2024-05-21 14:24:44,2,0,2024-05-21 14:24:56,KPI_DATA_build_20240521_133615.csv
123,2024-05-21 14:24:56,2024-05-21 14:25:21,1,0,2024-05-21 14:25:33,KPI_DATA_build_20240521_133615.csv
124,2024-05-21 14:25:33,2024-05-21 14:27:55,3,1,2024-05-21 14:28:07,KPI_DATA_build_20240521_133615.csv
125,2024-05-21 14:28:07,2024-05-21 14:28:32,1,0,2024-05-21 14:28:44,KPI_DATA_build_20240521_133615.csv
126,2024-05-21 14:28:44,2024-05-21 14:30:50,3,1,2024-05-21 14:31:02,KPI_DATA_build_20240521_133615.csv
127,2024-05-21 14:31:02,2024-05-21 14:31:17,1,0,2024-05-21 14:31:29,KPI_DATA_build_20240521_133615.csv
128,2024-05-21 14:31:29,2024-05-21 14:33:54,6,1,2024-05-21 14:34:06,KPI_DATA_build_20240521_133615.csv
169,2024-05-21 14:34:06,2024-05-21 14:36:53,1,2,2024-05-21 14:37:06,KPI_DATA_build_20240521_133615.csv
170,2024-05-21 14:37:06,2024-05-21 14:38:55,2,1,2024-05-21 14:39:09,KPI_DATA_build_20240521_133615.csv
178,2024-05-21 14:39:09,2024-05-21 14:40:39,1,1,2024-05-21 14:40:51,KPI_DATA_build_20240521_133615.csv
169,2024-05-22 12:14:24,2024-05-22 12:15:56,1,0,2024-05-22 12:16:09,KPI_DATA_build_20240522_121420.csv
170,2024-05-22 12:16:09,2024-05-22 12:16:50,3,0,2024-05-22 12:17:04,KPI_DATA_build_20240522_121420.csv
178,2024-05-22 12:17:04,2024-05-22 12:17:26,2,0,2024-05-22 12:17:37,KPI_DATA_build_20240522_121420.csv
179,2024-05-22 12:17:37,2024-05-22 12:17:57,1,0,2024-05-22 12:18:10,KPI_DATA_build_20240522_121420.csv
180,2024-05-22 12:18:10,2024-05-22 12:19:49,1,1,2024-05-22 12:20:03,KPI_DATA_build_20240522_121420.csv
181,2024-05-22 12:20:03,2024-05-22 12:26:12,3,4,2024-05-22 12:26:25,KPI_DATA_build_20240522_121420.csv
182,2024-05-22 12:26:25,2024-05-22 12:26:42,1,0,2024-05-22 12:26:55,KPI_DATA_build_20240522_121420.csv
183,2024-05-22 12:26:55,2024-05-22 12:28:42,1,1,2024-05-22 12:28:56,KPI_DATA_build_20240522_121420.csv
184,2024-05-22 12:28:56,2024-05-22 12:30:49,3,1,2024-05-22 12:31:02,KPI_DATA_build_20240522_121420.csv
185,2024-05-22 12:31:02,2024-05-22 12:37:31,3,4,2024-05-22 12:37:45,KPI_DATA_build_20240522_121420.csv
187,2024-05-22 12:37:45,2024-05-22 12:38:17,2,0,2024-05-22 12:38:31,KPI_DATA_build_20240522_121420.csv
188,2024-05-22 12:38:31,2024-05-22 12:40:07,1,1,2024-05-22 12:40:21,KPI_DATA_build_20240522_121420.csv
189,2024-05-22 12:40:21,2024-05-22 12:40:37,1,0,2024-05-22 12:40:51,KPI_DATA_build_20240522_121420.csv
190,2024-05-22 12:40:51,2024-05-22 12:42:32,1,1,2024-05-22 12:42:46,KPI_DATA_build_20240522_121420.csv
191,2024-05-22 12:42:46,2024-05-22 12:44:13,1,1,2024-05-22 12:44:27,KPI_DATA_build_20240522_121420.csv
192,2024-05-22 12:44:27,2024-05-22 12:44:41,1,0,2024-05-22 12:44:56,KPI_DATA_build_20240522_121420.csv
193,2024-05-22 12:44:56,2024-05-22 12:46:33,1,1,2024-05-22 12:46:46,KPI_DATA_build_20240522_121420.csv
194,2024-05-22 13:05:14,2024-05-22 13:06:29,1,0,2024-05-22 13:06:42,KPI_DATA_build_20240522_130513.csv
198,2024-05-22 13:06:42,2024-05-22 13:07:00,1,0,2024-05-22 13:07:13,KPI_DATA_build_20240522_130513.csv
199,2024-05-22 13:07:13,2024-05-22 13:09:03,2,1,2024-05-22 13:09:16,KPI_DATA_build_20240522_130513.csv
202,2024-05-22 13:09:16,2024-05-22 13:09:33,1,0,2024-05-22 13:09:46,KPI_DATA_build_20240522_130513.csv
203,2024-05-22 13:09:46,2024-05-22 13:10:02,1,0,2024-05-22 13:10:15,KPI_DATA_build_20240522_130513.csv
204,2024-05-22 13:10:15,2024-05-22 13:13:18,1,2,2024-05-22 13:13:30,KPI_DATA_build_20240522_130513.csv
260,2024-05-22 13:13:30,2024-05-22 13:13:45,1,0,2024-05-22 13:13:57,KPI_DATA_build_20240522_130513.csv
261,2024-05-22 13:13:57,2024-05-22 13:14:11,1,0,2024-05-22 13:14:23,KPI_DATA_build_20240522_130513.csv
262,2024-05-22 13:14:23,2024-05-22 13:16:03,1,1,2024-05-22 13:16:15,KPI_DATA_build_20240522_130513.csv
