0,1,2,3,4,5,6,7,8
152.0,104.0,19.200000000000003,0,49,3020,21,0,0
168.0,104.0,19.200000000000003,0,50,3020,23,1,1
152.0,40.0,19.200000000000003,0,124,3020,21,0,0
168.0,40.0,19.200000000000003,0,125,3020,21,1,1
168.0,72.0,19.200000000000003,0,126,3020,21,9,1
152.0,72.0,19.200000000000003,0,127,3020,21,9,1
152.0,136.0,19.200000000000003,0,132,3020,21,7,1
152.0,168.0,19.200000000000003,0,133,3020,21,7,1
168.0,136.0,19.200000000000003,0,134,3020,21,8,1
168.0,168.0,19.200000000000003,0,135,3020,21,8,1
144.0,40.0,22.400000000000002,1,51,3020,21,0,0
152.0,88.0,22.400000000000002,0,52,3020,21,0,0
152.0,120.0,22.400000000000002,0,53,3020,21,7,1
144.0,184.0,22.400000000000002,1,54,3020,21,0,0
168.0,88.0,22.400000000000002,0,55,3020,21,1,1
168.0,120.0,22.400000000000002,0,56,3020,21,8,1
152.0,56.0,22.400000000000002,0,128,3020,21,9,1
168.0,56.0,22.400000000000002,0,129,3020,21,9,1
168.0,152.0,22.400000000000002,0,136,3020,21,9,1
152.0,152.0,22.400000000000002,0,137,3020,21,9,1
24.0,48.0,25.6,1,10,3001,23,0,0
24.0,64.0,25.6,1,11,3001,23,7,3
24.0,144.0,25.6,1,12,3001,23,0,0
24.0,160.0,25.6,1,13,3001,23,7,3
144.0,40.0,25.6,1,57,3020,21,0,0
144.0,184.0,25.6,1,66,3020,21,0,0
152.0,24.0,28.8,0,67,3020,23,0,0
152.0,184.0,28.8,0,68,3020,23,0,0
168.0,24.0,28.8,0,69,3020,23,1,1
168.0,184.0,28.8,0,70,3020,23,1,1
144.0,56.0,32.0,1,58,3001,23,7,2
144.0,72.0,32.0,1,59,3001,23,7,3
144.0,88.0,32.0,1,60,3001,23,7,3
144.0,104.0,32.0,1,61,3001,23,7,3
144.0,120.0,32.0,1,62,3001,23,7,3
144.0,136.0,32.0,1,63,3001,23,7,3
144.0,152.0,32.0,1,64,3001,23,7,3
144.0,168.0,32.0,1,65,3001,23,9,2
144.0,24.0,32.0,1,71,3020,23,0,0
144.0,40.0,32.0,1,72,3020,23,9,1
144.0,184.0,32.0,1,73,3020,23,7,1
144.0,200.0,32.0,1,74,3020,23,7,1
32.0,48.0,35.2,0,14,3001,21,0,0
32.0,144.0,35.2,0,15,3001,21,0,0
48.0,48.0,35.2,0,16,3001,21,1,3
48.0,144.0,35.2,0,17,3001,21,1,3
152.0,24.0,35.2,0,75,3020,23,0,0
152.0,56.0,35.2,0,76,3022,23,7,1
152.0,168.0,35.2,0,77,3020,23,0,0
152.0,200.0,35.2,0,78,3022,23,7,1
168.0,24.0,35.2,0,79,3020,23,2,1
168.0,184.0,35.2,0,80,3020,23,1,1
144.0,24.0,38.400000000000006,1,81,3020,23,0,0
144.0,200.0,38.400000000000006,1,82,3020,23,0,0
24.0,48.0,44.800000000000004,1,18,3001,21,0,0
24.0,64.0,44.800000000000004,1,19,3001,21,7,3
24.0,144.0,44.800000000000004,1,20,3001,21,0,0
24.0,160.0,44.800000000000004,1,21,3001,21,7,3
32.0,48.0,54.400000000000006,0,22,3001,21,0,0
32.0,144.0,54.400000000000006,0,23,3001,21,0,0
48.0,48.0,54.400000000000006,0,24,3001,21,1,3
48.0,144.0,54.400000000000006,0,25,3001,21,1,3
24.0,48.0,64.0,1,26,3001,21,0,0
24.0,64.0,64.0,1,27,3001,21,7,3
24.0,144.0,64.0,1,28,3001,21,0,0
24.0,160.0,64.0,1,29,3001,21,7,3
32.0,48.0,73.60000000000001,0,30,3001,21,0,0
32.0,144.0,73.60000000000001,0,31,3001,21,0,0
48.0,48.0,73.60000000000001,0,32,3001,21,1,3
48.0,144.0,73.60000000000001,0,33,3001,21,1,3
24.0,48.0,83.2,1,34,3001,21,0,0
24.0,64.0,83.2,1,35,3001,21,7,3
24.0,144.0,83.2,1,36,3001,21,0,0
24.0,160.0,83.2,1,37,3001,21,7,3
32.0,144.0,86.4,0,38,3020,21,0,0
48.0,144.0,86.4,0,39,3020,21,1,1
32.0,48.0,86.4,0,40,3020,21,0,0
48.0,48.0,86.4,0,41,3020,21,1,1
