0,1,2,3,4,5,6,7,8
184.0,88.0,6.4,1,85,3001,28,8,3
184.0,104.0,6.4,1,86,3001,28,8,3
184.0,120.0,6.4,1,87,3001,28,8,3
184.0,136.0,6.4,1,88,3001,28,8,3
184.0,152.0,6.4,1,89,3001,28,8,3
184.0,168.0,6.4,1,90,3001,28,8,3
184.0,184.0,6.4,1,91,3001,28,8,3
184.0,200.0,6.4,1,92,3001,28,8,3
184.0,216.0,6.4,1,93,3001,28,8,3
184.0,232.0,6.4,1,94,3001,28,8,3
184.0,248.0,6.4,1,95,3001,28,8,3
184.0,264.0,6.4,1,96,3001,28,8,3
216.0,24.0,6.4,1,97,3001,28,1,3
216.0,40.0,6.4,1,98,3001,28,8,3
216.0,56.0,6.4,1,99,3001,28,8,3
216.0,72.0,6.4,1,100,3001,28,8,3
216.0,88.0,6.4,1,101,3001,28,8,3
216.0,104.0,6.4,1,102,3001,28,8,3
216.0,120.0,6.4,1,103,3001,28,8,3
216.0,136.0,6.4,1,104,3001,28,8,3
216.0,152.0,6.4,1,105,3001,28,8,3
216.0,168.0,6.4,1,106,3001,28,8,3
216.0,184.0,6.4,1,107,3001,28,8,3
216.0,200.0,6.4,1,108,3001,28,8,3
216.0,216.0,6.4,1,109,3001,28,8,3
216.0,232.0,6.4,1,110,3001,28,8,3
216.0,248.0,6.4,1,111,3001,28,8,3
216.0,264.0,6.4,1,112,3001,28,8,3
248.0,24.0,6.4,1,113,3001,28,1,3
248.0,40.0,6.4,1,114,3001,28,8,3
248.0,56.0,6.4,1,115,3001,28,8,3
248.0,72.0,6.4,1,116,3001,28,8,3
248.0,88.0,6.4,1,117,3001,28,8,3
248.0,104.0,6.4,1,118,3001,28,8,3
248.0,120.0,6.4,1,119,3001,28,8,3
248.0,136.0,6.4,1,120,3001,28,8,3
248.0,152.0,6.4,1,121,3001,28,8,3
248.0,168.0,6.4,1,122,3001,28,8,3
248.0,184.0,6.4,1,123,3001,28,8,3
248.0,200.0,6.4,1,124,3001,28,8,3
248.0,216.0,6.4,1,125,3001,28,8,3
248.0,232.0,6.4,1,126,3001,28,8,3
248.0,248.0,6.4,1,127,3001,28,8,3
248.0,264.0,6.4,1,128,3001,28,8,3
112.0,24.0,9.600000000000001,0,169,3020,28,0,0
112.0,56.0,9.600000000000001,0,170,3022,28,7,1
120.0,24.0,9.600000000000001,1,178,3020,23,1,1
128.0,40.0,9.600000000000001,0,179,3020,28,8,1
128.0,72.0,9.600000000000001,0,180,3020,28,7,1
128.0,104.0,9.600000000000001,0,181,3020,28,7,1
128.0,136.0,9.600000000000001,0,182,3020,28,7,1
128.0,168.0,9.600000000000001,0,183,3020,28,7,1
128.0,200.0,9.600000000000001,0,184,3020,28,7,1
128.0,232.0,9.600000000000001,0,185,3022,28,7,1
144.0,40.0,9.600000000000001,0,187,3020,28,8,1
144.0,72.0,9.600000000000001,0,188,3020,28,8,1
144.0,104.0,9.600000000000001,0,189,3020,28,8,1
144.0,136.0,9.600000000000001,0,190,3020,28,8,1
144.0,168.0,9.600000000000001,0,191,3020,28,8,1
144.0,200.0,9.600000000000001,0,192,3020,28,9,1
144.0,232.0,9.600000000000001,0,193,3020,28,8,1
144.0,264.0,9.600000000000001,0,194,3022,23,7,1
160.0,104.0,9.600000000000001,0,198,3020,28,1,1
160.0,136.0,9.600000000000001,0,199,3020,28,8,1
160.0,216.0,9.600000000000001,0,202,3020,28,1,1
152.0,248.0,9.600000000000001,1,203,3020,28,9,1
152.0,264.0,9.600000000000001,1,204,3020,23,8,1
104.0,24.0,12.8,1,260,3020,23,0,0
104.0,40.0,12.8,1,261,3020,23,7,1
104.0,56.0,12.8,1,262,3020,23,7,1
120.0,72.0,12.8,1,263,3020,23,7,1
120.0,88.0,12.8,1,264,3020,23,7,1
120.0,104.0,12.8,1,265,3020,23,7,1
120.0,120.0,12.8,1,266,3020,23,7,1
120.0,136.0,12.8,1,267,3020,23,7,1
120.0,152.0,12.8,1,268,3020,23,7,1
120.0,168.0,12.8,1,269,3020,23,7,1
120.0,184.0,12.8,1,270,3020,23,7,1
120.0,200.0,12.8,1,271,3020,23,7,1
120.0,216.0,12.8,1,272,3020,23,7,1
120.0,232.0,12.8,1,273,3020,23,7,1
144.0,24.0,12.8,0,274,3020,23,1,1
144.0,56.0,12.8,0,275,3022,23,9,1
136.0,248.0,12.8,1,276,3020,23,7,1
136.0,264.0,12.8,1,277,3020,23,7,1
160.0,104.0,12.8,0,278,3020,23,1,1
160.0,136.0,12.8,0,279,3020,23,8,1
160.0,216.0,12.8,0,280,3020,23,2,1
176.0,248.0,12.8,0,281,3020,23,1,1
32.0,24.0,16.0,0,129,3001,28,0,0
32.0,56.0,16.0,0,130,3001,28,7,3
32.0,88.0,16.0,0,131,3001,28,7,3
32.0,120.0,16.0,0,132,3001,28,7,3
32.0,152.0,16.0,0,133,3001,28,7,3
32.0,184.0,16.0,0,134,3001,28,7,3
32.0,216.0,16.0,0,135,3001,28,7,3
32.0,248.0,16.0,0,136,3001,28,7,3
48.0,24.0,16.0,0,137,3001,28,1,3
48.0,56.0,16.0,0,138,3001,28,8,3
48.0,88.0,16.0,0,139,3001,28,8,3
48.0,120.0,16.0,0,140,3001,28,8,3
48.0,152.0,16.0,0,141,3001,28,8,3
48.0,184.0,16.0,0,142,3001,28,8,3
48.0,216.0,16.0,0,143,3001,28,8,3
48.0,248.0,16.0,0,144,3001,28,8,3
64.0,24.0,16.0,0,145,3001,28,1,3
64.0,56.0,16.0,0,146,3001,28,8,3
64.0,88.0,16.0,0,147,3001,28,8,3
64.0,120.0,16.0,0,148,3001,28,8,3
64.0,152.0,16.0,0,149,3001,28,8,3
64.0,184.0,16.0,0,150,3001,28,8,3
64.0,216.0,16.0,0,151,3001,28,8,3
64.0,248.0,16.0,0,152,3001,28,8,3
80.0,24.0,16.0,0,153,3001,28,1,3
80.0,56.0,16.0,0,154,3001,28,8,3
80.0,88.0,16.0,0,155,3001,28,8,3
80.0,120.0,16.0,0,156,3001,28,8,3
80.0,152.0,16.0,0,157,3001,28,8,3
80.0,184.0,16.0,0,158,3001,28,8,3
80.0,216.0,16.0,0,159,3001,28,8,3
80.0,248.0,16.0,0,160,3001,28,8,3
96.0,24.0,16.0,0,161,3001,28,9,2
96.0,56.0,16.0,0,162,3001,28,8,1
96.0,88.0,16.0,0,163,3001,28,8,3
96.0,120.0,16.0,0,164,3001,28,8,3
96.0,152.0,16.0,0,165,3001,28,8,3
96.0,184.0,16.0,0,166,3001,28,8,3
96.0,216.0,16.0,0,167,3001,28,8,3
96.0,248.0,16.0,0,168,3001,28,8,3
112.0,72.0,16.0,0,171,3001,28,9,2
112.0,104.0,16.0,0,172,3001,28,9,2
112.0,136.0,16.0,0,173,3001,28,9,2
112.0,168.0,16.0,0,174,3001,28,9,2
112.0,200.0,16.0,0,175,3001,28,9,2
112.0,232.0,16.0,0,176,3001,28,8,1
112.0,264.0,16.0,0,177,3003,28,7,3
128.0,248.0,16.0,0,186,3001,28,9,2
160.0,24.0,16.0,0,195,3001,28,1,1
160.0,56.0,16.0,0,196,3001,28,8,2
160.0,88.0,16.0,0,197,3003,28,9,2
160.0,168.0,16.0,0,200,3001,28,8,2
